# Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
9/1/2020,0:10,284.62,85.18,1017.26,3.81,43.83,0,0,0,0
9/1/2020,0:20,284.52,85.76,1017.29,3.82,44.54,0,0,0,0
9/1/2020,0:30,284.43,86.35,1017.32,3.82,45.24,0,0,0,0
9/1/2020,0:40,284.33,86.87,1017.36,3.82,45.76,0,0,0,0
9/1/2020,0:50,284.24,87.33,1017.4,3.81,46.12,0.000001,0,0,0
9/1/2020,1:00,284.15,87.79,1017.45,3.81,46.47,0.000002,0,0,0
9/1/2020,1:10,284.06,88.25,1017.5,3.8,46.83,0.000003,0,0,0
9/1/2020,1:20,283.97,88.72,1017.55,3.8,47.18,0.000004,0,0,0
9/1/2020,1:30,283.88,89.18,1017.59,3.79,47.54,0.000005,0,0,0
9/1/2020,1:40,283.8,89.57,1017.63,3.79,47.61,0.000015,0,0,0
9/1/2020,1:50,283.72,89.87,1017.66,3.79,47.37,0.000033,0,0,0
9/1/2020,2:00,283.64,90.18,1017.7,3.8,47.14,0.000051,0,0,0
9/1/2020,2:10,283.56,90.48,1017.73,3.8,46.91,0.000069,0,0,0
9/1/2020,2:20,283.48,90.79,1017.76,3.8,46.68,0.000088,0,0,0
9/1/2020,2:30,283.4,91.1,1017.8,3.8,46.45,0.000106,0,0,0
9/1/2020,2:40,283.33,91.3,1017.83,3.81,45.85,0.000114,0,0,0
9/1/2020,2:50,283.27,91.41,1017.87,3.83,44.88,0.000113,0,0,0
9/1/2020,3:00,283.21,91.52,1017.91,3.85,43.93,0.000112,0,0,0
9/1/2020,3:10,283.15,91.63,1017.96,3.87,42.99,0.00011,0,0,0
9/1/2020,3:20,283.09,91.74,1018,3.9,42.06,0.000109,0,0,0
9/1/2020,3:30,283.03,91.85,1018.04,3.92,41.13,0.000108,0,0,0
9/1/2020,3:40,282.99,91.82,1018.08,3.94,40.29,0.000106,0,0,0
9/1/2020,3:50,282.98,91.66,1018.13,3.95,39.52,0.000105,0,0,0
9/1/2020,4:00,282.97,91.5,1018.18,3.95,38.75,0.000103,0,0,0
9/1/2020,4:10,282.96,91.33,1018.23,3.96,37.98,0.000102,0,0,0
9/1/2020,4:20,282.95,91.17,1018.28,3.98,37.22,0.000101,0,0,0
9/1/2020,4:30,282.94,91.01,1018.33,3.99,36.46,0.000099,0,0,0.933
9/1/2020,4:40,283.09,90,1018.38,4,36.02,0.000092,0,0,3.5949
9/1/2020,4:50,283.39,88.19,1018.43,4.03,35.88,0.00008,0,0,6.4789
9/1/2020,5:00,283.69,86.42,1018.49,4.05,35.75,0.000067,0,0,9.63
9/1/2020,5:10,283.99,84.69,1018.54,4.07,35.62,0.000055,0,0,13.0444
9/1/2020,5:20,284.29,83,1018.6,4.09,35.49,0.000042,0,0,16.717
9/1/2020,5:30,284.6,81.35,1018.65,4.11,35.36,0.00003,0,0,20.6419
9/1/2020,5:40,284.88,79.69,1018.69,4.12,35.05,0.000021,0,0,24.6083
9/1/2020,5:50,285.14,78.05,1018.7,4.11,34.55,0.000018,0,0,28.5261
9/1/2020,6:00,285.41,76.43,1018.71,4.1,34.05,0.000014,0,0,32.5639
9/1/2020,6:10,285.67,74.86,1018.72,4.09,33.55,0.00001,0,0,36.7135
9/1/2020,6:20,285.93,73.31,1018.73,4.08,33.04,0.000006,0,0,40.9663
9/1/2020,6:30,286.2,71.8,1018.74,4.06,32.53,0.000002,0,0,45.3132
9/1/2020,6:40,286.5,69.73,1018.73,4.07,32,0,0,0,49.5011
9/1/2020,6:50,286.86,67.15,1018.68,4.08,31.46,0,0,0,53.469
9/1/2020,7:00,287.21,64.65,1018.63,4.09,30.92,0.000001,0,0,57.4345
9/1/2020,7:10,287.56,62.23,1018.59,4.1,30.39,0.000001,0,0,61.389
9/1/2020,7:20,287.91,59.89,1018.54,4.11,29.85,0.000001,0,0,65.3238
9/1/2020,7:30,288.26,57.63,1018.49,4.13,29.32,0.000001,0,0,69.2302
9/1/2020,7:40,288.54,56.19,1018.43,4.19,28.75,0.000001,0,0,72.9556
9/1/2020,7:50,288.76,55.51,1018.36,4.3,28.17,0.000001,0,0,76.4727
9/1/2020,8:00,288.98,54.85,1018.28,4.41,27.61,0.000001,0,0,79.9111
9/1/2020,8:10,289.19,54.2,1018.21,4.53,27.08,0.000001,0,0,83.2635
9/1/2020,8:20,289.41,53.55,1018.13,4.64,26.58,0.000001,0,0,86.5224
